場所,芝ダ,距離,脚質,母数,勝利数,複勝数,単勝率,複勝率,補正複勝率
阪神,ダ,1800,,10,0,0,0.0,0.0,0.076923
阪神,ダ,1800,まくり,18,3,8,0.1667,0.4444,0.428571
阪神,ダ,1800,先行,335,51,137,0.1522,0.409,0.408284
阪神,ダ,1800,差し,770,23,110,0.0299,0.1429,0.143596
阪神,ダ,1800,逃げ,105,21,39,0.2,0.3714,0.37037
阪神,ダ,2000,まくり,4,2,2,0.5,0.5,0.428571
阪神,ダ,2000,先行,86,16,45,0.186,0.5233,0.516854
阪神,ダ,2000,差し,195,4,20,0.0205,0.1026,0.106061
阪神,ダ,2000,逃げ,27,3,8,0.1111,0.2963,0.3
阪神,芝,1200,,1,0,0,0.0,0.0,0.25
阪神,芝,1200,先行,92,6,26,0.0652,0.2826,0.284211
阪神,芝,1200,差し,235,14,35,0.0596,0.1489,0.151261
阪神,芝,1200,逃げ,26,6,17,0.2308,0.6538,0.62069
阪神,芝,1400,,5,0,0,0.0,0.0,0.125
阪神,芝,1400,先行,161,15,56,0.0932,0.3478,0.347561
阪神,芝,1400,差し,345,14,44,0.0406,0.1275,0.12931
阪神,芝,1400,逃げ,40,12,23,0.3,0.575,0.55814
阪神,芝,1600,,3,0,0,0.0,0.0,0.166667
阪神,芝,1600,まくり,2,0,1,0.0,0.5,0.4
阪神,芝,1600,先行,158,22,54,0.1392,0.3418,0.341615
阪神,芝,1600,差し,330,15,63,0.0455,0.1909,0.192192
阪神,芝,1600,逃げ,44,7,14,0.1591,0.3182,0.319149
阪神,芝,1800,,7,0,0,0.0,0.0,0.1
阪神,芝,1800,まくり,3,1,1,0.3333,0.3333,0.333333
阪神,芝,1800,先行,159,15,61,0.0943,0.3836,0.382716
阪神,芝,1800,差し,242,15,45,0.062,0.186,0.187755
阪神,芝,1800,逃げ,42,11,19,0.2619,0.4524,0.444444
阪神,芝,2000,,2,0,0,0.0,0.0,0.2
阪神,芝,2000,まくり,6,1,3,0.1667,0.5,0.444444
阪神,芝,2000,先行,127,17,47,0.1339,0.3701,0.369231
