競馬場,芝ダ,距離数値,前走場所,件数,勝利数,複勝数,勝率,複勝率,単回収率,複回収率
阪神,芝,1600.0,中京,147,8,31,0.0544,0.2109,102.2,52.8
阪神,芝,1600.0,京都,102,7,23,0.0686,0.2255,88.6,89.2
阪神,芝,1600.0,東京,100,7,26,0.07,0.26,93.0,81.5
阪神,芝,1600.0,中山,85,6,18,0.0706,0.2118,101.5,82.6
阪神,芝,1600.0,小倉,57,2,9,0.0351,0.1579,105.0,43.3
阪神,芝,1600.0,新潟,45,8,11,0.1778,0.2444,114.1,50.4
阪神,芝,1600.0,札幌,25,1,6,0.04,0.24,336.1,115.2
阪神,芝,1800.0,阪神,139,17,40,0.1223,0.2878,155.9,65.5
阪神,芝,1800.0,中京,83,5,17,0.0602,0.2048,133.1,68.4
阪神,芝,1800.0,小倉,70,3,14,0.0429,0.2,85.6,37.0
阪神,芝,1800.0,京都,67,8,22,0.1194,0.3284,93.9,61.0
阪神,芝,1800.0,東京,60,7,21,0.1167,0.35,133.7,66.5
阪神,芝,1800.0,中山,32,5,12,0.1562,0.375,289.6,97.8
阪神,芝,1800.0,新潟,31,1,8,0.0323,0.2581,68.1,35.2
阪神,芝,2000.0,阪神,149,9,32,0.0604,0.2148,69.6,54.0
阪神,芝,2000.0,中京,90,8,24,0.0889,0.2667,96.7,68.9
阪神,芝,2000.0,小倉,71,4,20,0.0563,0.2817,67.9,72.3
阪神,芝,2000.0,京都,69,8,23,0.1159,0.3333,81.1,89.3
阪神,芝,2000.0,中山,59,7,14,0.1186,0.2373,108.9,65.6
阪神,芝,2000.0,東京,56,9,17,0.1607,0.3036,161.2,75.9
阪神,芝,2000.0,新潟,30,1,6,0.0333,0.2,60.3,41.3
阪神,芝,2000.0,札幌,22,0,4,0.0,0.1818,64.1,67.3
阪神,芝,2000.0,福島,20,3,9,0.15,0.45,1059.3,263.0
阪神,芝,2200.0,阪神,45,2,13,0.0444,0.2889,65.4,107.6
阪神,芝,2200.0,中京,29,4,8,0.1379,0.2759,131.7,97.9
阪神,芝,2200.0,東京,26,1,3,0.0385,0.1154,67.6,23.8
阪神,芝,2200.0,京都,20,2,5,0.1,0.25,313.9,56.5
阪神,芝,2400.0,阪神,86,11,26,0.1279,0.3023,107.5,57.3
阪神,芝,2400.0,中京,37,4,9,0.1081,0.2432,89.2,42.2
阪神,芝,2400.0,京都,32,4,12,0.125,0.375,69.2,125.0
阪神,芝,2400.0,小倉,31,2,11,0.0645,0.3548,49.5,85.8
阪神,芝,2400.0,東京,30,4,13,0.1333,0.4333,126.5,80.3
阪神,芝,2400.0,中山,22,1,4,0.0455,0.1818,70.5,62.3
阪神,芝,2600.0,阪神,20,2,5,0.1,0.25,65.1,53.5
阪神,芝,3000.0,中京,21,0,2,0.0,0.0952,50.7,29.5
