前走競馬場,前走芝ダ,前走距離数値,前3角位置カテゴリ,件数,勝利数,複勝数,単勝払戻合計,複勝払戻合計,勝率,複勝率,単回収率,複回収率
京都,芝,1400,11番手以下,59,1,9,390.0,7690.0,1.69,15.25,6.61,130.34
京都,芝,1600,1番手,40,5,13,6890.0,4890.0,12.5,32.5,172.25,122.25
京都,芝,1600,2-3番手,83,11,26,6820.0,6080.0,13.25,31.33,82.17,73.25
京都,芝,1600,4-6番手,99,9,27,6160.0,11010.0,9.09,27.27,62.22,111.21
京都,芝,1600,7-10番手,170,9,44,4250.0,10270.0,5.29,25.88,25.0,60.41
京都,芝,1600,11番手以下,66,2,10,850.0,6640.0,3.03,15.15,12.88,100.61
京都,芝,1800,1番手,33,0,4,0.0,670.0,0.0,12.12,0.0,20.3
京都,芝,1800,2-3番手,38,2,8,1030.0,1790.0,5.26,21.05,27.11,47.11
京都,芝,1800,4-6番手,68,9,26,6740.0,5860.0,13.24,38.24,99.12,86.18
京都,芝,1800,7-10番手,102,8,23,5440.0,6150.0,7.84,22.55,53.33,60.29
京都,芝,1800,11番手以下,44,4,8,9240.0,3330.0,9.09,18.18,210.0,75.68
京都,芝,2000,1番手,35,4,8,2420.0,2480.0,11.43,22.86,69.14,70.86
京都,芝,2000,2-3番手,53,4,14,1820.0,4820.0,7.55,26.42,34.34,90.94
京都,芝,2000,4-6番手,69,13,24,8870.0,4540.0,18.84,34.78,128.55,65.8
京都,芝,2000,7-10番手,121,7,27,4420.0,7680.0,5.79,22.31,36.53,63.47
京都,芝,2000,11番手以下,42,1,9,1470.0,2410.0,2.38,21.43,35.0,57.38
京都,芝,2200,2-3番手,33,4,10,940.0,2210.0,12.12,30.3,28.48,66.97
京都,芝,2200,4-6番手,29,5,12,1880.0,2610.0,17.24,41.38,64.83,90.0
京都,芝,2200,7-10番手,71,12,25,5990.0,5600.0,16.9,35.21,84.37,78.87
京都,芝,2200,11番手以下,32,3,8,1500.0,2130.0,9.38,25.0,46.88,66.56
